# Data provided for site 06727000
#            TS   parameter     Description
#        211020       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
# 
Time,Streamflow
1988-12-21T00:00-07,12.0
1988-12-21T00:15-07,9.70
1988-12-21T00:30-07,8.10
1988-12-21T00:45-07,7.20
1988-12-21T01:00-07,6.90
1988-12-21T01:15-07,6.60
1988-12-21T01:30-07,6.90
1988-12-21T01:45-07,6.90
1988-12-21T02:00-07,7.20
1988-12-21T02:15-07,7.50
1988-12-21T02:30-07,7.80
1988-12-21T02:45-07,8.10
1988-12-21T03:00-07,8.90
1988-12-21T03:15-07,9.30
1988-12-21T03:30-07,9.70
1988-12-21T03:45-07,10.0
1988-12-21T04:00-07,11.0
1988-12-21T04:15-07,11.0
1988-12-21T04:30-07,12.0
1988-12-21T04:45-07,12.0
1988-12-21T05:00-07,13.0
1988-12-21T05:15-07,13.0
1988-12-21T05:30-07,14.0
1988-12-21T05:45-07,14.0
1988-12-21T06:00-07,15.0
1988-12-21T06:15-07,15.0
1988-12-21T06:30-07,16.0
1988-12-21T06:45-07,16.0
1988-12-21T07:00-07,16.0
1988-12-21T07:15-07,16.0
1988-12-21T07:30-07,17.0
1988-12-21T07:45-07,17.0
1988-12-21T08:00-07,17.0
1988-12-21T08:15-07,18.0
1988-12-21T08:30-07,18.0
1988-12-21T08:45-07,18.0
1988-12-21T09:00-07,18.0
1988-12-21T09:15-07,18.0
1988-12-21T09:30-07,18.0
1988-12-21T09:45-07,18.0
1988-12-21T10:00-07,18.0
1988-12-21T10:15-07,19.0
1988-12-21T10:30-07,19.0
1988-12-21T10:45-07,19.0
1988-12-21T11:00-07,19.0
1988-12-21T11:15-07,19.0
1988-12-21T11:30-07,19.0
1988-12-21T11:45-07,19.0
1988-12-21T12:00-07,19.0
1988-12-21T12:15-07,83.0
1988-12-21T12:30-07,47.0
1988-12-21T12:45-07,33.0
1988-12-21T13:00-07,20.0
1988-12-21T13:15-07,14.0
1988-12-21T13:30-07,10.0
1988-12-21T13:45-07,8.50
1988-12-21T14:00-07,7.50
1988-12-21T14:15-07,6.90
1988-12-21T14:30-07,6.60
1988-12-21T14:45-07,6.30
1988-12-21T15:00-07,6.30
1988-12-21T15:15-07,8.10
1988-12-21T15:30-07,11.0
1988-12-21T15:45-07,9.70
1988-12-21T16:00-07,8.10
1988-12-21T16:15-07,7.50
1988-12-21T16:30-07,6.90
1988-12-21T16:45-07,98.0
1988-12-21T17:00-07,170
1988-12-21T17:15-07,170
1988-12-21T17:30-07,170
1988-12-21T17:45-07,170
1988-12-21T18:00-07,170
1988-12-21T18:15-07,170
1988-12-21T18:30-07,170
1988-12-21T18:45-07,170
1988-12-21T19:00-07,170
1988-12-21T19:15-07,170
1988-12-21T19:30-07,170
1988-12-21T19:45-07,170
1988-12-21T20:00-07,170
1988-12-21T20:15-07,170
1988-12-21T20:30-07,170
1988-12-21T20:45-07,170
1988-12-21T21:00-07,170
1988-12-21T21:15-07,170
1988-12-21T21:30-07,170
1988-12-21T21:45-07,170
1988-12-21T22:00-07,45.0
1988-12-21T22:15-07,27.0
1988-12-21T22:30-07,17.0
1988-12-21T22:45-07,12.0
1988-12-21T23:00-07,9.30
1988-12-21T23:15-07,7.80
1988-12-21T23:30-07,6.90
1988-12-21T23:45-07,6.60
1988-12-29T00:00-07,10.0
1988-12-29T00:15-07,7.80
1988-12-29T00:30-07,7.50
1988-12-29T00:45-07,7.20
1988-12-29T01:00-07,7.20
1988-12-29T01:15-07,7.50
1988-12-29T01:30-07,7.80
1988-12-29T01:45-07,8.50
1988-12-29T02:00-07,8.90
1988-12-29T02:15-07,9.70
1988-12-29T02:30-07,10.0
1988-12-29T02:45-07,11.0
1988-12-29T03:00-07,11.0
1988-12-29T03:15-07,12.0
1988-12-29T03:30-07,12.0
1988-12-29T03:45-07,13.0
1988-12-29T04:00-07,14.0
1988-12-29T04:15-07,15.0
1988-12-29T04:30-07,16.0
1988-12-29T04:45-07,16.0
1988-12-29T05:00-07,17.0
1988-12-29T05:15-07,17.0
1988-12-29T05:30-07,18.0
1988-12-29T05:45-07,18.0
1988-12-29T06:00-07,19.0
1988-12-29T06:15-07,19.0
1988-12-29T06:30-07,19.0
1988-12-29T06:45-07,20.0
1988-12-29T07:00-07,20.0
1988-12-29T07:15-07,20.0
1988-12-29T07:30-07,20.0
1988-12-29T07:45-07,21.0
1988-12-29T08:00-07,21.0
1988-12-29T08:15-07,21.0
1988-12-29T08:30-07,21.0
1988-12-29T08:45-07,21.0
1988-12-29T09:00-07,21.0
1988-12-29T09:15-07,21.0
1988-12-29T09:30-07,21.0
1988-12-29T09:45-07,21.0
1988-12-29T10:00-07,21.0
1988-12-29T10:15-07,21.0
1988-12-29T10:30-07,21.0
1988-12-29T10:45-07,21.0
1988-12-29T11:00-07,21.0
1988-12-29T11:15-07,21.0
1988-12-29T11:30-07,21.0
1988-12-29T11:45-07,21.0
1988-12-29T12:00-07,21.0
1988-12-29T12:15-07,21.0
1988-12-29T12:30-07,21.0
1988-12-29T12:45-07,21.0
1988-12-29T13:00-07,186
1988-12-29T13:15-07,46.0
1988-12-29T13:30-07,27.0
1988-12-29T13:45-07,17.0
1988-12-29T14:00-07,12.0
1988-12-29T14:15-07,8.90
1988-12-29T14:30-07,7.50
1988-12-29T14:45-07,6.90
1988-12-29T15:00-07,6.90
1988-12-29T15:15-07,6.90
1988-12-29T15:30-07,6.90
1988-12-29T15:45-07,7.20
